variant,config_n,config_k,config,median_par2,n_instances,n_optimal,par2_time_col
V0,20,3,"n=20, k=3",15.45,30,30,wall_clock_time
V0,20,5,"n=20, k=5",9.45,30,30,wall_clock_time
V0,20,7,"n=20, k=7",9.805,30,30,wall_clock_time
V0,20,10,"n=20, k=10",16.345,30,27,wall_clock_time
V0,50,3,"n=50, k=3",13.04,25,25,wall_clock_time
V0,50,5,"n=50, k=5",3600.0,25,6,wall_clock_time
V0,50,7,"n=50, k=7",3600.0,25,1,wall_clock_time
V0,50,10,"n=50, k=10",3600.0,25,1,wall_clock_time
V0,50,15,"n=50, k=15",3600.0,25,0,wall_clock_time
V0,100,5,"n=100, k=5",3600.0,20,0,wall_clock_time
V0,100,7,"n=100, k=7",3600.0,20,0,wall_clock_time
V0,100,10,"n=100, k=10",3600.0,20,0,wall_clock_time
V0,100,15,"n=100, k=15",3600.0,20,0,wall_clock_time
V0,100,20,"n=100, k=20",3600.0,20,0,wall_clock_time
V0,150,7,"n=150, k=7",3600.0,20,0,wall_clock_time
V0,150,10,"n=150, k=10",3600.0,20,0,wall_clock_time
V0,150,15,"n=150, k=15",3600.0,20,0,wall_clock_time
V0,150,20,"n=150, k=20",3600.0,20,0,wall_clock_time
V1,20,3,"n=20, k=3",7.77,30,30,wall_clock_time
V1,20,5,"n=20, k=5",0.88,30,30,wall_clock_time
V1,20,7,"n=20, k=7",0.275,30,30,wall_clock_time
V1,20,10,"n=20, k=10",1.22,30,30,wall_clock_time
V1,50,3,"n=50, k=3",2.37,25,25,wall_clock_time
V1,50,5,"n=50, k=5",1420.31,25,13,wall_clock_time
V1,50,7,"n=50, k=7",3600.0,25,12,wall_clock_time
V1,50,10,"n=50, k=10",3600.0,25,10,wall_clock_time
V1,50,15,"n=50, k=15",3600.0,25,9,wall_clock_time
V1,100,5,"n=100, k=5",3600.0,20,1,wall_clock_time
V1,100,7,"n=100, k=7",3600.0,20,2,wall_clock_time
V1,100,10,"n=100, k=10",3600.0,20,1,wall_clock_time
V1,100,15,"n=100, k=15",3600.0,20,0,wall_clock_time
V1,100,20,"n=100, k=20",3600.0,20,0,wall_clock_time
V1,150,7,"n=150, k=7",3600.0,20,0,wall_clock_time
V1,150,10,"n=150, k=10",3600.0,20,2,wall_clock_time
V1,150,15,"n=150, k=15",3600.0,20,0,wall_clock_time
V1,150,20,"n=150, k=20",3600.0,20,0,wall_clock_time
V2,20,3,"n=20, k=3",7.6,30,30,wall_clock_time
V2,20,5,"n=20, k=5",1.625,30,30,wall_clock_time
V2,20,7,"n=20, k=7",5.67,30,30,wall_clock_time
V2,20,10,"n=20, k=10",3.385,30,30,wall_clock_time
V2,50,3,"n=50, k=3",4.78,25,25,wall_clock_time
V2,50,5,"n=50, k=5",46.64,25,17,wall_clock_time
V2,50,7,"n=50, k=7",292.02,25,15,wall_clock_time
V2,50,10,"n=50, k=10",663.49,25,14,wall_clock_time
V2,50,15,"n=50, k=15",196.81,25,13,wall_clock_time
V2,100,5,"n=100, k=5",3600.0,20,2,wall_clock_time
V2,100,7,"n=100, k=7",3600.0,20,7,wall_clock_time
V2,100,10,"n=100, k=10",3600.0,20,2,wall_clock_time
V2,100,15,"n=100, k=15",3600.0,20,2,wall_clock_time
V2,100,20,"n=100, k=20",3600.0,20,2,wall_clock_time
V2,150,7,"n=150, k=7",3600.0,20,0,wall_clock_time
V2,150,10,"n=150, k=10",3600.0,20,3,wall_clock_time
V2,150,15,"n=150, k=15",3600.0,20,0,wall_clock_time
V2,150,20,"n=150, k=20",3600.0,20,0,wall_clock_time
V3,20,3,"n=20, k=3",8.195,30,30,wall_clock_time
V3,20,5,"n=20, k=5",0.3,30,30,wall_clock_time
V3,20,7,"n=20, k=7",4.915,30,30,wall_clock_time
V3,20,10,"n=20, k=10",0.755,30,29,wall_clock_time
V3,50,3,"n=50, k=3",16.75,25,24,wall_clock_time
V3,50,5,"n=50, k=5",3600.0,25,8,wall_clock_time
V3,50,7,"n=50, k=7",3600.0,25,8,wall_clock_time
V3,50,10,"n=50, k=10",3600.0,25,9,wall_clock_time
V3,50,15,"n=50, k=15",3600.0,25,9,wall_clock_time
V3,100,5,"n=100, k=5",3600.0,20,0,wall_clock_time
V3,100,7,"n=100, k=7",3600.0,20,2,wall_clock_time
V3,100,10,"n=100, k=10",3600.0,20,2,wall_clock_time
V3,100,15,"n=100, k=15",3600.0,20,0,wall_clock_time
V3,100,20,"n=100, k=20",3600.0,20,0,wall_clock_time
V3,150,7,"n=150, k=7",3600.0,20,0,wall_clock_time
V3,150,10,"n=150, k=10",3600.0,20,0,wall_clock_time
V3,150,15,"n=150, k=15",3600.0,20,0,wall_clock_time
V3,150,20,"n=150, k=20",3600.0,20,0,wall_clock_time
